,songs,artists,lyrics,length
52,Gotta Travel On,Billy Grammer,"i've laid around played around old town long summer's almost gone, yes, winter's comin' i've laid around played around old town long feel like gotta travel poppa writes johnny, johnny can't come home johnny can't come home, no, johnny can't come home poppa writes johnny, johnny can't come home 'cause he's chain gang long i've laid around played around old town long summer's almost gone, yes, winter's comin' i've laid around played around old town long feel like gotta travel high sheriff police riding riding me, yes, coming high sheriff police coming fee like gotta travel i've laid around played around old town long summer's almost gone, yes, winter's comin' i've laid around played around old town long feel like gotta travel want see honey, want see bad want see bad, oh, want see bad want see honey, want see bad best girl, poor boy ever i've laid around played around old town long summer's almost gone, yes, winter's comin' i've laid around played around old town long feel like gotta travel",1304
53,Poison Ivy,The Coasters,"come like rose everybody know she'll get dutch look better touch poison ivy, poison ivy late night sleepin' poison ivy come a-creepin', around pretty daisy look man crazy she'll really let get skin poison ivy, poison ivy late night sleepin' poison ivy come a-creepin', around measles make bumpy mumps'll make lumpy chicken pox'll make jump twitch common cold'll fool ya whooping cough cool ya poison ivy, lord'll make itch gonna need ocean calamine lotion scratchin' like hound minute start mess around poison ivy, poison ivy late night sleepin' poison ivy come a-creepin' around measles make bumpy mumps'll make lumpy chicken pox'll make jump twitch common cold'll fool ya whooping cough cool ya poison ivy, lord'll make itch gonna need ocean calamine lotion scratchin' like hound minute start mess around poison ivy, poison ivy late night sleepin' poison ivy come a-creepin', around la da la da la da la da la da la da la da la da la da la da la da la da",1289
54,Turn Me Loose,Fabian,"turn loose, turn loose say first time felt way gonna get thousand kick kiss thousand chick turn loose turn loose, turn loose say gonna rock'n'roll long band's gonna play gonna holler, gonna shout, gonna knock right turn loose (turn loose, ooh-ahh) i've got change pocket i'm rarin' go takin' chick-a picture show see home kiss goodnight well, turn loose, turn loose, turn loose, turn loose turn loose, turn loose say yes, today gonna, gonna day want understand, man turn loose (turn loose, ooh-ahh) i've got change pocket i'm rarin' go takin' chick-a picture show see home kiss goodnight well, turn loose, turn loose, turn loose, turn loose turn loose, turn loose say yes, today gonna, gonna day want understand, man turn loose (turn loose, ooh-ahh)",1067
55,Lonely Teardrops,Jackie Wilson,"shooby doo wop ba baa (hey hey) shooby doo wop ba baa (hey hey) shooby doo wop ba baa (hey hey) heart cryin', cryin' lonely teardrop pillow never dry lonely teardrop come home, come home say will, say (say will) say (say will) hey, hey (say will) heart cryin', cryin' lonely teardrop pillow never dry lonely teardrop come home, come home say will, say (say will) say (say will) hey, hey (say will) give another chance romance come tell one day return 'cause everyday gone away know heart nothing burn cry lonely teardrop pillow never dry lonely teardrop come home, come home say will, say (say will) say (say will) hey, hey (say will) say right baby (say will) come on, come (say will) say darling, yeah (say will)",972
56,Hawaiian Wedding Song,Andy Williams,"""this moment i've waited hear heart singing soon bell ringing moment oh sweet aloha love longer forever promise leave never .... dear love vow dear promise leave never love longer forever one cloud want light sun blue sky hawaii smile wedding day"" love heart",444
58,Just Ask Your Heart,Frankie Avalon,ask heart dream ask heart who's faithful true someone care make blue ask heart love find true love someone care want make happy heart say love say make blue ask heart love true ask heart'-loves find true love someone care want make happy heart say love say make blue ask heart love true ask heart'-loves ask heart'-loves,710
59,Tell Him No,Travis and Bob,tell no-oh-oh-oh tell no-oh-oh-oh asks date tell no-oh-oh-oh tell tell no-oh-oh-oh tell no-oh-oh-oh asks kiss tell no-oh-oh-oh tell alright go party it’s alright fun alright take movie let one tell no-oh-oh-oh tell no-oh-oh-oh offer ring tell no-oh-oh-oh tell tell loved thrill charm feel much better held arm tell no-oh-oh-oh tell no-oh-oh-oh asks date tеll no-oh-oh-oh tell tell no-oh-oh-oh tell no-oh-oh-oh tеll no-oh-oh-oh,707
60,Frankie,Connie Francis,"ah-ah-ah-ah frankie, wherever are, love ah-ah-ah-ah though found new love still miss can't forget never know frankie, darling i'll never let see cry sweetheart i'm friend really loved pretend frankie, darling i'll never let see cry (never let see cry) oh, frankie i'd rather hide teardrop (teardeeprops) inside, i'm cry never see, i'd rather cry pity though night lonely since we've apart i'll always keep secret deep within heart frankie, darling i'll never let see cry frankie, wherever are, love (ah-ah-ah-ah)",730
61,I've Had It,The Bell Notes,la la la la la... saw corner knew goner i've well i've say phone there's nobody home i've well i've la la la la la... la la la la la... say keep date show two hour late i've well i've say love honey really need money i've well i've la la la la la...,449
62,I Cried a Tear,LaVern Baker,"cried tear cried tear we're cried tear, else could do? cry sigh love felt tear fall heart fooled so, smart can't believe must part come back stay, let's make new start cried tear cried tear we're please make dream come true make cry tear make cry tear",453
63,Enchanted,The Platters,"living dream make seem enchanted lover take granted world's aglow, ought know touch star really enchanted find seed plant it, love make grow really grand stand hand hand lover thrill wonder night days, too, amaze soon discover dream run dream continuous flight love ecstasy, divine enchanted dream slanted lover's eye really grand stand hand hand lover thrill wonder night days, too, amaze soon discover dream run dream continuous flight love ecstasy, divine enchanted dream slanted lover's eye",811
64,Since I Don't Have You,The Skyliners,"plan scheme hope dream i-i-i anything since fond desire happy hour i-i-i anything since happiness, guess never walked walked old misery he's since love share one care i-i-i anything since you, you, you, you, you, you, you, you, you, (you )",520
65,Peter Gunn Theme,Ray Anthony,"catalogue hitsfats gonder ramp delivery salesmanlike incantation rabid enthusiasm. he's got singer sell. what's man he's introducing done hard work? ""man sang, 'i go crazy'!"" snare smack horn section blare g chord. really ""i'll go crazy,"" gonder's determined out-country jb's enunciation. ""try me!"" g-sharp. ""you've got power!"" a. ""think!"" a-sharp. ""if want me!"" b – except, oh dear, problem trumpet section, either teddy washington mack johnson hit bad note. (what ""if want me""? hit, really-it flip-side ""bewildered."" list hits? sounded good.) ""i mind!"" c. ""be-wil-dered!” c-sharp. (at point, there's sound like first bit we've lost tape – tiny dropout, perhaps something edited there.) ""million-dolla sella 'lost someone'!"" million-seller, mind you, million-dollar seller, time single usually cost 79 cents. ""lost someone"" no. 2 r&b hit, given got no. 48 pop charts, particular distinction unlikely. band hit d. ""the latest release, 'night train'!"" well, – ""shout shimmy"" ""mashed potato u.s.a."" come since ""night train"" – biggest hit year. d-sharp. ""it's everybody 'shout shimmy'!"" we'll hearing minute. e.gold""brown perhaps dozen 'gold' record credit,” little unbylined puff piece week's new york amsterdam news announced. pushing – he'd 15 chart single point. james brown certified gold single 1972's ""get good foot,"" although king evidently bother riaa gold platinum certification. still, apollo audience, gonder lot familiar song title mention. awful lot citation chart number date book. live them. essential part james brown's art. genius genius roll ticket tom one one, money handed records, hit. great james brown song popular, popular james brown song great. george w.s. trow wrote another, darker context, ""it's hit! love it! hit. love love hit!"" ""you come see show,"" brown sang. ""that's james brown love so."" ""this hit!,"" declared tape rolled ""papa's got brand new bag""; cut released record, persuaded artist whose record produced around time yell thing, might work magic too. look single discography, ignore instrumentals, duets, reissues, throwaway king's subsidiary label bethlehem, christmas novelty records-just concentrate song threw weight behind. pattern emerges, rather unbroken block: ""money change you” july 1966 ""hot (i need loved, loved, loved, loved)"" nine year later, james brown sixty consecutive chart hits. terms, unstoppable champion, term people paying hear sing, reassured paying popular. that's wanted make live apollo badly: could demonstrate james brown hit. get tape.the catalogue hitsback apollo, gonder's speech setting couple subliminal effects. starting ""you've got power,"" running ""bewildered,” there's steady 6/8 rhythm word accent band's stab – tick-tock swing that's pretty much tempo brown's ballads. there's also hidden message emphases-crazy-me- you-think-want-mind-be-will-lost-night-shimmy! night total abandon, suggestion goes; thought become desire simple be, sheer will; night lost shimmying. (a young man named danny ray waiting wings. he'd hired, week, james brown's valet; year later, he'd take emcee job, still hold today, introduction james brown show patterned gonder's ever since.) gonder's still going. ""mr. dynamite""-mr. dynamite title two movies, one 1935, adapted dashiell hammett's story ""on make,” 1941, starring lloyd nolan tommy n. thornton (nice initials)-""the amazing mr. please, please himself, star show""-as could doubt, gonder almost erupting conviction-""james brown famous flames!""the scratchthe horn buck--one, two, three, four, five, g chord that's climbed octave since gonder started litany. beginning fanfare announce hardest working man show business's arrival: three chorus perky little blue riff. brown glide onto stage third, probably high-powered footwork, judging screams. twenty-nine year old flexible piece yarn, dance faster harder anyone, rippling body, floating wooden floor water-slicked ice. perky little blue riff name, although never credited edition live apollo 2004: ""the scratch."" brown band (including le buie guitar hubert perry bass, still band apollo) recorded instrumental october 4, 1960. (""the scratch"" also close cousin henry mancini's ""peter gunn"" theme, hit ray anthony 1959; duane eddy's version charted first time october 10, 1960.) brown's version appeared b-side ""hold it"" january 1961, band played entrance music least mid-1963. band bat last note again, almost see james brown's foot slide frictionlessly position behind microphone.i'll go crazyjames brown step front apollo stage, gaze 1500 thoroughly warmed-up faces, ass matter huge holler. feel right, want make sure everybody know it. third time announces it, give ""all"" enormous melismatic rush, swooping around least twelve note prove can; then, take breath, guitarist le buie whack sharply strings, we're ""i'll go crazy.""the missing songexcept we're not: there's almost certainly least one song missing set live apollo. days, jb usually opened show latest hit. october 1962, ""shout shimmy,"" made no. 16 r&b chart (no. 61 pop) back august. recorded february 9, 1961 (the day ""lost someone"" ""night train""), start i-feel-all-right routine, proceeds truly shameless ripoff isley brothers' 1959 hit ""shout.” (really, truly shameless. ""i feel right"" business derived beginning second half isleys' record, rest record basically fast part ""shout,"" gospel inflection removed word ""shimmy"" added. last time jb would appropriate isleys' work own, either: ""it's thing,"" protegee marva whitney's 1969 single, credited j. brown/m. whitney, could charitably described answer song isleys' ""it's thing."" could le charitably described cover change pronouns.) ...",8137
